loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,loan_status,purpose,addr_state,dti,default_flag
20000.0, 36 months,5.32,602.3,A,A1,9 years,OWN,65000.0,Fully Paid,debt_consolidation,NY,18.83,0
16000.0, 60 months,17.97,406.04,D,D4,< 1 year,MORTGAGE,109000.0,Fully Paid,debt_consolidation,NM,23.35,0
17600.0, 36 months,5.32,530.03,A,A1,< 1 year,MORTGAGE,88000.0,Fully Paid,credit_card,KS,26.59,0
15000.0, 36 months,5.32,451.73,A,A1,10+ years,MORTGAGE,44000.0,Fully Paid,home_improvement,VA,15.34,0
16000.0, 36 months,12.88,538.18,C,C2,10+ years,MORTGAGE,65000.0,Charged Off,small_business,AL,18.96,1
24250.0, 60 months,24.24,701.01,F,F3,4 years,MORTGAGE,75000.0,Charged Off,debt_consolidation,NY,20.84,1
12000.0, 36 months,10.78,391.62,B,B4,1 year,RENT,98000.0,Fully Paid,debt_consolidation,WA,24.04,0
25000.0, 60 months,13.99,581.58,C,C4,9 years,MORTGAGE,79000.0,Charged Off,debt_consolidation,MD,34.53,1
16800.0, 60 months,12.88,381.23,C,C2,10+ years,MORTGAGE,118000.0,Current,debt_consolidation,MO,34.29,0
7000.0, 36 months,7.49,217.72,A,A4,10+ years,MORTGAGE,59000.0,Fully Paid,credit_card,MD,13.06,0
21000.0, 60 months,13.99,488.53,C,C4,< 1 year,RENT,52000.0,Fully Paid,credit_card,OH,14.47,0
27500.0, 60 months,14.85,652.06,C,C5,10+ years,MORTGAGE,195000.0,Fully Paid,other,LA,6.79,0
7200.0, 36 months,11.48,237.36,B,B5,10+ years,MORTGAGE,72500.0,Fully Paid,home_improvement,GA,8.47,0
20000.0, 36 months,14.85,691.84,C,C5,6 years,RENT,110000.0,Fully Paid,credit_card,IL,12.45,0
20000.0, 36 months,15.77,700.88,D,D1,5 years,RENT,70000.0,Fully Paid,house,FL,22.21,0
10000.0, 60 months,17.97,253.78,D,D4,2 years,MORTGAGE,55000.0,Charged Off,credit_card,CO,35.7,1
16000.0, 60 months,13.99,372.21,C,C4,9 years,MORTGAGE,142000.0,Current,debt_consolidation,CA,17.74,0
20000.0, 36 months,9.8,643.47,B,B3,5 years,RENT,75000.0,Fully Paid,debt_consolidation,WA,23.45,0
8650.0, 36 months,5.32,260.5,A,A1,< 1 year,MORTGAGE,100000.0,Fully Paid,credit_card,IN,7.28,0
21000.0, 60 months,13.44,482.56,C,C3,2 years,RENT,54649.0,Fully Paid,debt_consolidation,TX,12.14,0
7200.0, 36 months,15.77,252.32,D,D1,< 1 year,RENT,55000.0,Fully Paid,debt_consolidation,NY,17.35,0
8800.0, 36 months,9.8,283.13,B,B3,10+ years,MORTGAGE,92000.0,Fully Paid,credit_card,MI,5.18,0
14650.0, 60 months,20.5,392.23,E,E4,2 years,RENT,43160.0,Current,debt_consolidation,OH,21.44,0
2500.0, 36 months,17.27,89.47,D,D3,10+ years,MORTGAGE,50000.0,Fully Paid,other,FL,17.6,0
11000.0, 36 months,9.17,350.67,B,B2,10+ years,MORTGAGE,69000.0,Fully Paid,credit_card,OH,21.34,0
23850.0, 60 months,17.27,596.21,D,D3,10+ years,OWN,68046.0,Current,debt_consolidation,VA,24.71,0
15700.0, 60 months,16.59,386.74,D,D2,6 years,MORTGAGE,48000.0,Current,credit_card,LA,29.13,0
28800.0, 60 months,11.99,640.5,C,C1,10+ years,OWN,60000.0,Current,debt_consolidation,FL,18.01,0
10000.0, 36 months,12.88,336.37,C,C2,4 years,MORTGAGE,91392.0,Fully Paid,house,MO,9.44,0
24000.0, 60 months,9.8,507.58,B,B3,,OWN,77900.0,Current,home_improvement,TN,10.24,0
28000.0, 60 months,18.49,718.51,D,D5,10+ years,MORTGAGE,75000.0,Fully Paid,debt_consolidation,IN,31.88,0
35000.0, 60 months,11.99,778.38,C,C1,10+ years,MORTGAGE,128000.0,Fully Paid,home_improvement,DC,6.46,0
7200.0, 36 months,9.17,229.53,B,B2,10+ years,MORTGAGE,50000.0,Fully Paid,debt_consolidation,MA,19.25,0
10000.0, 36 months,7.91,312.95,A,A5,2 years,RENT,40100.0,Fully Paid,credit_card,OH,10.81,0
16000.0, 60 months,13.44,367.67,C,C3,1 year,RENT,42000.0,Charged Off,credit_card,MA,9.6,1
21875.0, 36 months,11.99,726.46,C,C1,< 1 year,RENT,47590.0,Fully Paid,credit_card,FL,17.76,0
14025.0, 60 months,18.49,359.9,D,D5,10+ years,MORTGAGE,39000.0,Fully Paid,debt_consolidation,WI,18.0,0
35000.0, 60 months,12.88,794.21,C,C2,7 years,MORTGAGE,106000.0,Charged Off,debt_consolidation,AL,17.36,1
20000.0, 36 months,12.88,672.73,C,C2,10+ years,MORTGAGE,145000.0,Fully Paid,debt_consolidation,RI,12.28,0
14000.0, 60 months,14.85,331.96,C,C5,2 years,MORTGAGE,60000.0,Charged Off,debt_consolidation,AZ,24.29,1
16000.0, 60 months,8.49,328.19,B,B1,5 years,MORTGAGE,62000.0,In Grace Period,credit_card,CA,28.92,0
28000.0, 60 months,14.85,663.92,C,C5,2 years,MORTGAGE,85000.0,Current,debt_consolidation,GA,28.52,0
20000.0, 60 months,13.99,465.27,C,C4,10+ years,OWN,70000.0,Charged Off,debt_consolidation,MD,16.9,1
17600.0, 60 months,19.89,465.22,E,E3,< 1 year,RENT,44000.0,Current,credit_card,FL,17.56,0
4200.0, 36 months,13.44,142.41,C,C3,10+ years,MORTGAGE,102500.0,Fully Paid,debt_consolidation,NY,26.21,0
19000.0, 60 months,14.85,450.52,C,C5,9 years,OWN,75000.0,Fully Paid,credit_card,NY,13.09,0
15850.0, 60 months,23.13,448.01,F,F2,10+ years,OWN,45000.0,Fully Paid,debt_consolidation,OH,34.85,0
10000.0, 60 months,11.99,222.4,C,C1,10+ years,RENT,42500.0,Current,debt_consolidation,IN,31.04,0
30000.0, 36 months,15.77,1051.31,D,D1,2 years,MORTGAGE,175000.0,Fully Paid,home_improvement,OH,18.5,0
1500.0, 36 months,6.49,45.97,A,A2,,MORTGAGE,45000.0,Fully Paid,vacation,HI,16.11,0
25000.0, 36 months,5.32,752.87,A,A1,1 year,MORTGAGE,150000.0,Fully Paid,credit_card,VT,9.54,0
16250.0, 60 months,13.44,373.41,C,C3,2 years,MORTGAGE,50000.0,Current,debt_consolidation,NY,34.95,0
20200.0, 60 months,18.49,518.35,D,D5,4 years,RENT,60000.0,Charged Off,debt_consolidation,CA,34.84,1
23975.0, 60 months,19.89,633.73,E,E3,10+ years,RENT,70000.0,Charged Off,credit_card,VA,33.2,1
15000.0, 60 months,10.78,324.5,B,B4,10+ years,MORTGAGE,65000.0,Fully Paid,debt_consolidation,AL,29.28,0
10000.0, 36 months,10.78,326.35,B,B4,3 years,MORTGAGE,41600.0,Fully Paid,debt_consolidation,IN,15.78,0
15000.0, 36 months,8.49,473.45,B,B1,6 years,MORTGAGE,110000.0,Fully Paid,credit_card,NJ,13.24,0
23100.0, 60 months,20.5,618.46,E,E4,2 years,OWN,110000.0,Charged Off,car,DE,20.43,1
27300.0, 36 months,17.27,977.0,D,D3,10+ years,MORTGAGE,65000.0,Charged Off,home_improvement,NY,25.63,1
25000.0, 60 months,11.48,549.57,B,B5,10+ years,MORTGAGE,135000.0,Fully Paid,credit_card,TX,4.65,0
15000.0, 36 months,10.78,489.52,B,B4,1 year,RENT,40000.0,Fully Paid,credit_card,TX,10.17,0
10000.0, 60 months,16.59,246.33,D,D2,< 1 year,RENT,30000.0,Fully Paid,debt_consolidation,OH,30.84,0
18500.0, 60 months,12.88,419.8,C,C2,10+ years,MORTGAGE,70000.0,Fully Paid,debt_consolidation,TX,13.2,0
5000.0, 36 months,7.91,156.48,A,A5,6 years,RENT,32000.0,Fully Paid,credit_card,OH,13.73,0
9000.0, 36 months,9.17,286.92,B,B2,1 year,OWN,50000.0,Fully Paid,debt_consolidation,KS,11.98,0
11000.0, 36 months,6.49,337.09,A,A2,10+ years,MORTGAGE,85000.0,Fully Paid,credit_card,MA,15.0,0
20000.0, 36 months,6.49,612.89,A,A2,6 years,MORTGAGE,55000.0,Fully Paid,debt_consolidation,TN,29.15,0
15000.0, 36 months,5.32,451.73,A,A1,,RENT,80000.0,Fully Paid,debt_consolidation,VA,20.18,0
12000.0, 36 months,5.32,361.38,A,A1,4 years,MORTGAGE,53750.0,Fully Paid,debt_consolidation,AZ,15.3,0
8000.0, 36 months,10.78,261.08,B,B4,< 1 year,MORTGAGE,45000.0,Fully Paid,debt_consolidation,MI,21.23,0
12000.0, 36 months,10.78,391.62,B,B4,3 years,RENT,40000.0,Fully Paid,credit_card,NJ,31.95,0
18000.0, 36 months,7.49,559.83,A,A4,5 years,MORTGAGE,75000.0,Fully Paid,debt_consolidation,NH,25.65,0
3600.0, 36 months,11.48,118.68,B,B5,< 1 year,MORTGAGE,85000.0,Fully Paid,debt_consolidation,VA,17.44,0
7200.0, 36 months,17.27,257.67,D,D3,9 years,OWN,20000.0,Charged Off,debt_consolidation,MA,13.21,1
15000.0, 60 months,13.44,344.69,C,C3,4 years,RENT,77213.0,Fully Paid,credit_card,FL,18.17,0
5000.0, 36 months,9.8,160.87,B,B3,6 years,OWN,72000.0,Fully Paid,other,NC,6.52,0
11550.0, 60 months,16.59,284.51,D,D2,5 years,RENT,38000.0,Charged Off,credit_card,OH,21.07,1
33600.0, 36 months,10.78,1096.53,B,B4,8 years,RENT,104000.0,Fully Paid,debt_consolidation,OH,14.01,0
17925.0, 60 months,17.27,448.09,D,D3,10+ years,OWN,39000.0,Current,debt_consolidation,OH,27.78,0
17475.0, 36 months,13.99,597.17,C,C4,2 years,RENT,39750.0,Charged Off,debt_consolidation,IL,23.58,1
9000.0, 36 months,8.49,284.07,B,B1,8 years,MORTGAGE,47000.0,Fully Paid,debt_consolidation,FL,8.43,0
12000.0, 60 months,9.8,253.79,B,B3,10+ years,MORTGAGE,65000.0,Fully Paid,debt_consolidation,KS,23.84,0
4000.0, 36 months,9.17,127.52,B,B2,2 years,RENT,44500.0,Fully Paid,debt_consolidation,NE,15.83,0
10500.0, 36 months,15.77,367.96,D,D1,3 years,RENT,70100.0,Fully Paid,credit_card,KS,8.51,0
14000.0, 36 months,9.8,450.43,B,B3,4 years,MORTGAGE,100000.0,Fully Paid,medical,OH,15.97,0
6000.0, 36 months,7.91,187.77,A,A5,10+ years,MORTGAGE,105000.0,Fully Paid,car,OH,14.45,0
16000.0, 60 months,12.88,363.07,C,C2,10+ years,OWN,90000.0,Current,home_improvement,CT,6.39,0
15000.0, 36 months,9.8,482.61,B,B3,3 years,MORTGAGE,92000.0,Fully Paid,debt_consolidation,OR,13.89,0
12000.0, 36 months,9.17,382.55,B,B2,4 years,MORTGAGE,39400.0,Fully Paid,debt_consolidation,CA,26.32,0
10000.0, 36 months,11.48,329.67,B,B5,2 years,RENT,33000.0,Fully Paid,debt_consolidation,IN,21.75,0
4200.0, 36 months,13.99,143.53,C,C4,2 years,RENT,32000.0,Fully Paid,other,TN,31.02,0
35000.0, 60 months,20.5,937.06,E,E4,8 years,MORTGAGE,120000.0,Fully Paid,debt_consolidation,GA,35.69,0
5475.0, 36 months,18.99,200.67,E,E1,10+ years,MORTGAGE,108000.0,Charged Off,debt_consolidation,FL,33.47,1
16000.0, 60 months,7.91,323.74,A,A5,2 years,MORTGAGE,60000.0,Current,debt_consolidation,FL,28.58,0
6000.0, 36 months,13.44,203.44,C,C3,3 years,OWN,38700.0,Fully Paid,debt_consolidation,NC,23.26,0
24000.0, 36 months,9.17,765.1,B,B2,10+ years,MORTGAGE,75000.0,Fully Paid,debt_consolidation,RI,10.11,0
10000.0, 36 months,12.88,336.37,C,C2,< 1 year,RENT,60000.0,Fully Paid,debt_consolidation,WA,3.3,0
6900.0, 36 months,19.89,256.05,E,E3,10+ years,RENT,80000.0,Fully Paid,debt_consolidation,NY,9.57,0
22400.0, 60 months,9.8,473.74,B,B3,10+ years,MORTGAGE,48000.0,Current,credit_card,VA,28.48,0
15975.0, 36 months,16.59,566.3,D,D2,4 years,MORTGAGE,58800.0,Fully Paid,debt_consolidation,CA,20.45,0
21600.0, 36 months,13.44,732.38,C,C3,9 years,MORTGAGE,54000.0,Fully Paid,debt_consolidation,WI,17.64,0
24000.0, 60 months,13.99,558.32,C,C4,8 years,RENT,82193.0,Current,credit_card,IN,29.92,0
14400.0, 60 months,19.48,377.36,E,E2,3 years,RENT,73320.0,Charged Off,debt_consolidation,NY,17.02,1
8000.0, 36 months,13.99,273.39,C,C4,< 1 year,RENT,42000.0,Fully Paid,other,OR,23.26,0
7000.0, 36 months,13.99,239.21,C,C4,2 years,RENT,83000.0,Fully Paid,debt_consolidation,DE,21.96,0
20000.0, 36 months,10.78,652.7,B,B4,< 1 year,OWN,55000.0,Fully Paid,debt_consolidation,AL,36.94,0
25825.0, 60 months,26.06,774.14,F,F5,6 years,RENT,68000.0,Charged Off,debt_consolidation,MD,31.68,1
24575.0, 60 months,22.45,685.04,F,F1,10+ years,MORTGAGE,92000.0,Fully Paid,debt_consolidation,OH,24.16,0
3200.0, 36 months,8.49,101.01,B,B1,10+ years,RENT,30407.0,Fully Paid,medical,MN,20.61,0
22875.0, 60 months,15.77,553.49,D,D1,10+ years,MORTGAGE,137000.0,Fully Paid,debt_consolidation,CA,32.3,0
16000.0, 60 months,14.85,379.39,C,C5,10+ years,MORTGAGE,80000.0,Current,debt_consolidation,TX,19.59,0
35000.0, 36 months,13.44,1186.72,C,C3,< 1 year,MORTGAGE,125000.0,Fully Paid,debt_consolidation,MN,24.19,0
2400.0, 36 months,17.27,85.89,D,D3,2 years,MORTGAGE,52000.0,Fully Paid,home_improvement,IN,28.38,0
25000.0, 36 months,7.49,777.55,A,A4,,MORTGAGE,132000.0,Fully Paid,debt_consolidation,MI,13.83,0
8800.0, 36 months,12.88,296.0,C,C2,2 years,RENT,55000.0,Fully Paid,credit_card,MA,35.52,0
2500.0, 36 months,11.48,82.42,B,B5,,RENT,16488.0,Fully Paid,debt_consolidation,CT,38.06,0
8000.0, 36 months,5.32,240.92,A,A1,1 year,RENT,50000.0,Fully Paid,credit_card,MI,14.86,0
20000.0, 36 months,11.99,664.2,C,C1,10+ years,MORTGAGE,78000.0,Charged Off,debt_consolidation,AL,27.1,1
35000.0, 60 months,12.88,794.21,C,C2,10+ years,MORTGAGE,110000.0,Charged Off,major_purchase,MD,13.39,1
15000.0, 36 months,7.49,466.53,A,A4,,MORTGAGE,45000.0,Fully Paid,debt_consolidation,CA,10.67,0
16000.0, 36 months,15.77,560.7,D,D1,1 year,MORTGAGE,70000.0,Charged Off,debt_consolidation,NJ,8.78,1
10800.0, 60 months,13.99,251.25,C,C4,3 years,RENT,40000.0,Fully Paid,debt_consolidation,FL,26.13,0
7500.0, 36 months,17.97,271.04,D,D4,10+ years,OWN,15000.0,Fully Paid,debt_consolidation,FL,37.2,0
16000.0, 36 months,10.78,522.16,B,B4,5 years,RENT,63000.0,Charged Off,debt_consolidation,NY,35.19,1
9000.0, 36 months,5.32,271.04,A,A1,10+ years,MORTGAGE,49000.0,Fully Paid,credit_card,CA,21.63,0
9500.0, 36 months,15.77,332.92,D,D1,10+ years,RENT,28000.0,Fully Paid,other,MI,27.95,0
10000.0, 36 months,7.91,312.95,A,A5,2 years,OWN,25000.0,Charged Off,debt_consolidation,CA,29.91,1
6000.0, 36 months,7.91,187.77,A,A5,10+ years,MORTGAGE,49000.0,Fully Paid,debt_consolidation,CO,17.92,0
15600.0, 60 months,13.44,358.48,C,C3,10+ years,MORTGAGE,52000.0,Fully Paid,major_purchase,NY,15.37,0
35000.0, 36 months,8.49,1104.71,B,B1,< 1 year,OWN,90000.0,Fully Paid,debt_consolidation,CA,13.36,0
5000.0, 36 months,11.48,164.84,B,B5,9 years,MORTGAGE,78000.0,Fully Paid,debt_consolidation,TX,21.21,0
20400.0, 60 months,18.49,523.48,D,D5,2 years,MORTGAGE,75000.0,Fully Paid,credit_card,AR,38.65,0
8000.0, 36 months,17.97,289.1,D,D4,,MORTGAGE,33130.0,Charged Off,debt_consolidation,LA,11.52,1
16000.0, 36 months,10.78,522.16,B,B4,3 years,RENT,87500.0,Fully Paid,debt_consolidation,IL,13.74,0
18000.0, 36 months,7.91,563.31,A,A5,10+ years,MORTGAGE,80000.0,Charged Off,debt_consolidation,PA,15.56,1
35000.0, 36 months,9.17,1115.77,B,B2,1 year,RENT,105000.0,Fully Paid,debt_consolidation,FL,25.07,0
13150.0, 36 months,5.32,396.01,A,A1,1 year,RENT,40000.0,Fully Paid,major_purchase,TX,20.25,0
5600.0, 36 months,9.17,178.53,B,B2,8 years,RENT,48000.0,Fully Paid,credit_card,TX,19.85,0
23000.0, 36 months,9.8,739.99,B,B3,9 years,MORTGAGE,90247.0,Fully Paid,credit_card,VA,17.09,0
12600.0, 60 months,14.85,298.77,C,C5,1 year,MORTGAGE,175000.0,Fully Paid,credit_card,MD,11.75,0
11000.0, 36 months,16.59,389.94,D,D2,8 years,MORTGAGE,55000.0,Fully Paid,debt_consolidation,IL,16.85,0
4000.0, 36 months,11.99,132.84,C,C1,3 years,RENT,41501.0,Fully Paid,debt_consolidation,NY,12.9,0
20000.0, 60 months,13.44,459.58,C,C3,9 years,MORTGAGE,75000.0,Current,debt_consolidation,MT,20.67,0
20000.0, 36 months,11.48,659.33,B,B5,5 years,RENT,60000.0,Fully Paid,debt_consolidation,VA,22.62,0
10000.0, 36 months,9.17,318.79,B,B2,10+ years,MORTGAGE,59307.0,Fully Paid,credit_card,OH,32.7,0
18850.0, 36 months,21.48,714.83,E,E5,< 1 year,MORTGAGE,55000.0,Charged Off,debt_consolidation,NV,15.56,1
21000.0, 60 months,11.99,467.03,C,C1,10+ years,MORTGAGE,82000.0,Fully Paid,debt_consolidation,NY,15.07,0
10500.0, 36 months,8.49,331.42,B,B1,4 years,MORTGAGE,60000.0,Fully Paid,debt_consolidation,WV,15.39,0
4575.0, 36 months,17.27,163.73,D,D3,5 years,RENT,56000.0,Charged Off,house,NJ,10.03,1
5000.0, 36 months,11.48,164.84,B,B5,1 year,RENT,17000.0,Fully Paid,other,NH,27.9,0
8000.0, 36 months,6.99,246.99,A,A3,,MORTGAGE,45000.0,Fully Paid,home_improvement,RI,15.15,0
5000.0, 36 months,11.99,166.05,C,C1,1 year,RENT,30000.0,Charged Off,debt_consolidation,MD,9.16,1
9075.0, 36 months,5.32,273.3,A,A1,10+ years,MORTGAGE,40000.0,Fully Paid,credit_card,MT,8.39,0
24000.0, 60 months,12.88,544.61,C,C2,2 years,MORTGAGE,75181.21,Current,debt_consolidation,VA,31.57,0
12500.0, 36 months,7.49,388.78,A,A4,10+ years,RENT,52000.0,Fully Paid,credit_card,CA,6.83,0
19600.0, 60 months,15.77,474.25,D,D1,8 years,MORTGAGE,80000.0,Charged Off,debt_consolidation,NH,18.99,1
35000.0, 36 months,13.99,1196.05,C,C4,2 years,MORTGAGE,90000.0,Fully Paid,debt_consolidation,FL,10.97,0
28000.0, 60 months,8.49,574.33,B,B1,1 year,MORTGAGE,75000.0,Fully Paid,debt_consolidation,GA,24.83,0
14000.0, 60 months,15.77,338.75,D,D1,1 year,RENT,45500.0,Charged Off,debt_consolidation,TX,19.24,1
16000.0, 36 months,9.8,514.78,B,B3,,MORTGAGE,99906.0,Fully Paid,credit_card,NY,6.97,0
14000.0, 36 months,5.32,421.61,A,A1,4 years,RENT,120000.0,Fully Paid,debt_consolidation,CA,6.73,0
24000.0, 36 months,8.49,757.51,B,B1,8 years,MORTGAGE,72000.0,Fully Paid,debt_consolidation,TX,22.8,0
35000.0, 36 months,13.99,1196.05,C,C4,6 years,OWN,75000.0,Fully Paid,debt_consolidation,FL,18.19,0
14550.0, 60 months,15.77,352.06,D,D1,10+ years,MORTGAGE,70000.0,Current,debt_consolidation,FL,34.44,0
8000.0, 36 months,11.48,263.74,B,B5,< 1 year,RENT,21610.0,Fully Paid,credit_card,TN,31.06,0
32400.0, 60 months,9.8,685.23,B,B3,10+ years,MORTGAGE,106284.0,Current,credit_card,TX,24.11,0
3600.0, 36 months,13.44,122.07,C,C3,1 year,RENT,25000.0,Fully Paid,debt_consolidation,PA,26.45,0
10500.0, 36 months,13.99,358.82,C,C4,10+ years,MORTGAGE,110000.0,Fully Paid,debt_consolidation,CA,30.73,0
3000.0, 36 months,11.48,98.9,B,B5,10+ years,MORTGAGE,105000.0,Fully Paid,home_improvement,CA,12.09,0
16000.0, 36 months,14.85,553.48,C,C5,2 years,RENT,43000.0,Fully Paid,credit_card,NY,17.11,0
8000.0, 36 months,7.49,248.82,A,A4,10+ years,MORTGAGE,57000.0,Fully Paid,debt_consolidation,PA,25.01,0
19500.0, 36 months,7.49,606.49,A,A4,< 1 year,RENT,85000.0,Fully Paid,debt_consolidation,CA,13.74,0
2000.0, 36 months,8.49,63.13,B,B1,8 years,MORTGAGE,140000.0,Fully Paid,other,SC,6.78,0
16000.0, 36 months,5.32,481.84,A,A1,8 years,MORTGAGE,96000.0,Fully Paid,debt_consolidation,MN,14.45,0
3500.0, 36 months,10.78,114.23,B,B4,8 years,MORTGAGE,122400.0,Fully Paid,vacation,CA,17.97,0
14000.0, 60 months,9.17,291.78,B,B2,4 years,RENT,94000.0,Current,debt_consolidation,NC,32.3,0
24000.0, 36 months,11.48,791.2,B,B5,3 years,OWN,95000.0,Fully Paid,debt_consolidation,IL,26.89,0
6000.0, 36 months,5.32,180.69,A,A1,2 years,OWN,120000.0,Fully Paid,credit_card,NY,3.98,0
24000.0, 36 months,7.91,751.08,A,A5,9 years,MORTGAGE,100000.0,Fully Paid,debt_consolidation,MI,26.83,0
14875.0, 60 months,18.49,381.71,D,D5,3 years,RENT,37231.0,Charged Off,debt_consolidation,TN,36.3,1
10000.0, 36 months,11.99,332.1,C,C1,7 years,RENT,45000.0,Fully Paid,other,MD,37.55,0
15000.0, 36 months,6.99,463.09,A,A3,2 years,MORTGAGE,93000.0,Fully Paid,credit_card,MA,14.86,0
10000.0, 36 months,5.32,301.15,A,A1,10+ years,RENT,68000.0,Fully Paid,credit_card,IN,14.61,0
18000.0, 60 months,9.17,375.14,B,B2,10+ years,OWN,97000.0,Current,major_purchase,NY,22.22,0
24000.0, 60 months,19.48,628.93,E,E2,10+ years,RENT,97000.0,Fully Paid,debt_consolidation,CO,7.23,0
23525.0, 60 months,17.97,597.0,D,D4,5 years,MORTGAGE,70000.0,Fully Paid,debt_consolidation,NJ,13.33,0
12000.0, 60 months,9.17,250.1,B,B2,10+ years,OWN,68000.0,Current,credit_card,TX,14.53,0
11000.0, 36 months,10.78,358.99,B,B4,10+ years,RENT,297000.0,Fully Paid,other,MD,12.69,0
24000.0, 36 months,9.17,765.1,B,B2,2 years,MORTGAGE,210000.0,Fully Paid,debt_consolidation,MN,20.16,0
15000.0, 60 months,16.59,369.49,D,D2,8 years,RENT,42900.0,Current,debt_consolidation,MA,36.98,0
16000.0, 36 months,8.49,505.01,B,B1,10+ years,MORTGAGE,140000.0,Fully Paid,credit_card,TX,14.68,0
15000.0, 60 months,7.91,303.51,A,A5,5 years,RENT,90000.0,Charged Off,debt_consolidation,NY,17.07,1
5000.0, 36 months,11.99,166.05,C,C1,8 years,MORTGAGE,60000.0,Charged Off,debt_consolidation,GA,19.56,1
19100.0, 60 months,10.78,413.19,B,B4,10+ years,MORTGAGE,115000.0,Current,debt_consolidation,PA,14.35,0
15000.0, 36 months,10.78,489.52,B,B4,3 years,OWN,85000.0,Fully Paid,credit_card,IN,10.14,0
30000.0, 60 months,18.49,769.83,D,D5,2 years,MORTGAGE,85000.0,Current,debt_consolidation,NJ,35.93,0
15000.0, 36 months,9.8,482.61,B,B3,10+ years,RENT,60000.0,Fully Paid,credit_card,OH,25.56,0
3500.0, 36 months,13.99,119.61,C,C4,10+ years,RENT,105000.0,Fully Paid,other,CA,17.65,0
20000.0, 36 months,9.17,637.58,B,B2,2 years,RENT,130000.0,Fully Paid,debt_consolidation,NY,12.77,0
10000.0, 60 months,13.44,229.79,C,C3,7 years,RENT,30160.0,Current,credit_card,IL,29.45,0
35000.0, 60 months,18.49,898.13,D,D5,9 years,MORTGAGE,132500.0,Fully Paid,debt_consolidation,TX,14.48,0
16000.0, 60 months,14.85,379.39,C,C5,10+ years,RENT,90000.0,Late (31-120 days),credit_card,CA,16.65,0
2000.0, 36 months,11.99,66.42,C,C1,10+ years,MORTGAGE,180000.0,Fully Paid,other,IL,12.66,0
